	업종명	업소명	소재지지번	법인명	longitude	latitude	업태명
279	휴게음식점	(주)커피빈코리아홍대역8번출구점	서울특별시 마포구 동교동  168번지 4호	(주)커피빈코리아	126.9250467	37.5567889	커피숍
280	휴게음식점	더칼라	서울특별시 마포구 서교동  330번지 28호		126.9276828	37.5563885	커피숍
281	휴게음식점	아쿠아쿠	서울특별시 마포구 서교동  345번지 6호		126.9233364	37.5549109	커피숍
282	휴게음식점	바나나당	서울특별시 마포구 서교동  343번지 13호	(주)바나나당	126.9251381	37.5536541	기타 휴게음식점
283	휴게음식점	키커랜드	서울특별시 마포구 서교동  399번지 7호	바오밥디자인(주)	126.9176773	37.5488222	커피숍
284	휴게음식점	커피에반하다 홍대점	서울특별시 마포구 서교동  343번지 11호		126.9247166	37.5534575	기타 휴게음식점
285	휴게음식점	커피에반하다 홍대점	서울특별시 마포구 서교동  343번지 11호		126.9247166	37.5534575	기타 휴게음식점
286	휴게음식점	필로커피	서울특별시 마포구 동교동  154번지 27호		126.924572	37.5588732	커피숍
287	휴게음식점	놀숲홍대입구점	서울특별시 마포구 서교동  358번지 2호		126.9231056	37.5524679	커피숍
288	휴게음식점	갤러리라운지카페	서울특별시 마포구 서교동  367번지 5호	컴퍼니에스에스(주)	126.9210433	37.5509155	커피숍
289	휴게음식점	파티세리아르데슈아(Patissrie Ardechois)	서울특별시 마포구 서교동  375번지 4호		126.919162	37.5543925	커피숍
290	휴게음식점	어바웃 블랭크(about blank)	서울특별시 마포구 서교동  396번지 10호  1층일부		126.9180103	37.5497479	커피숍
291	휴게음식점	주식회사혼미니골드홍대지점	서울특별시 마포구 동교동  164번지 30호	주식회사 혼 (HON)	126.9234398	37.5555921	커피숍
292	휴게음식점	카페 피움(cafe fioom) 홍대점	서울특별시 마포구 동교동  164번지 30호	주식회사 혼 (HON)	126.9234398	37.5555921	커피숍
293	휴게음식점	엘리펀트스페이스	서울특별시 마포구 서교동  459번지 4호  1층	(주)레벨나인	126.9160139	37.5552971	커피숍
